epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.831158,3.86966,4.60302,3.2096,0,0,0,0,3.70658,4.79708,3.43308,0,0,0
2,1.61656,3.25084,4.39901,3.16705,0,0,0,0,3.70658,4.79708,3.43308,0.000352002,0.000352002,0.000352002
3,2.30773,3.76946,4.89301,3.21467,0,0,0,0,3.70658,4.79708,3.43308,0.000667341,0.000667341,0.000667341
4,2.98272,4.25013,4.666,3.1758,0,0,0,0,2.72208,4.74043,3.02974,0.000946016,0.000946016,0.000946016
5,3.83079,3.22013,4.93229,2.57551,0,0,0,0,2.72208,4.74043,3.02974,0.000891022,0.000891022,0.000891022
6,4.57366,4.20575,4.63676,3.04614,0,0,0,0,2.72208,4.74043,3.02974,0.000836027,0.000836027,0.000836027
7,5.23528,3.21065,4.6268,3.02839,0,0,0,0,2.73413,4.77169,3.0976,0.000781033,0.000781033,0.000781033
8,6.18641,2.98098,4.45867,2.50861,0,0,0,0,2.73413,4.77169,3.0976,0.000726038,0.000726038,0.000726038
9,6.88959,3.4177,4.38124,2.66976,0,0,0,0,2.73413,4.77169,3.0976,0.000671044,0.000671044,0.000671044
10,7.63485,2.90011,4.39319,2.53028,0,0,0,0,2.78493,4.76612,3.25402,0.000616049,0.000616049,0.000616049
11,8.28317,3.88994,4.85703,2.73651,0,0,0,0,2.78493,4.76612,3.25402,0.000561055,0.000561055,0.000561055
12,8.94844,3.32124,4.46577,3.10909,0,0,0,0,2.78493,4.76612,3.25402,0.00050606,0.00050606,0.00050606
13,9.635,3.24985,4.71356,2.40963,0,0,0,0,2.71235,4.79243,3.32567,0.000451066,0.000451066,0.000451066
14,10.2934,2.35781,4.50496,2.3389,0,0,0,0,2.71235,4.79243,3.32567,0.000396071,0.000396071,0.000396071
15,10.9094,2.82278,4.73315,2.43722,0,0,0,0,2.71235,4.79243,3.32567,0.000341077,0.000341077,0.000341077
16,11.5622,2.71119,4.5376,2.47761,0,0,0,0,2.8036,4.71449,3.03747,0.000286083,0.000286083,0.000286083
17,12.2102,2.1822,4.53472,2.19408,0,0,0,0,2.8036,4.71449,3.03747,0.000231088,0.000231088,0.000231088
18,12.8713,2.3217,4.41815,2.30944,0,0,0,0,2.8036,4.71449,3.03747,0.000176094,0.000176094,0.000176094
19,13.5953,2.99432,4.28725,2.6427,0,0,0,0,2.44396,4.74295,2.58354,0.000121099,0.000121099,0.000121099
20,14.2282,2.05181,4.58039,1.98573,0,0,0,0,2.44396,4.74295,2.58354,6.61045e-05,6.61045e-05,6.61045e-05
